,Unnamed: 0,year,latitude,longitude,high
0,3,1.0,35.31583300000001,69.038889,1.1268357810413885
1,17,1.0,35.118365999999995,69.23569499999999,1.039826435246996
2,46,1.0,34.531094,69.162796,1.0253671562082778
3,50,1.0,34.531094,69.162796,1.0253671562082778
4,52,1.2903225806452205,34.548072999999995,68.936374,1.253671562082777
5,64,1.580645161290333,35.641366,64.279081,1.0134445927903872
6,79,3.0322580645162196,35.432777,69.6825,1.0164886515353806
7,80,3.0322580645162196,35.31583300000001,69.038889,1.0
8,82,1.0,34.395614,68.866179,1.0202937249666222
9,86,1.2903225806452205,34.505467,68.88595699999999,1.0088785046728972
10,87,1.2903225806452205,34.364943,69.433654,1.00913217623498
11,88,1.2903225806452205,32.10368,66.905121,1.0266355140186916
12,94,1.580645161290333,34.87455,71.146812,1.0761014686248331
13,95,1.580645161290333,34.1279,69.0566,1.0761014686248331
14,96,1.580645161290333,34.395614,68.866179,1.0
15,104,1.8709677419355533,34.531094,69.162796,1.1268357810413885
16,106,1.8709677419355533,34.531094,69.162796,1.1522029372496663
17,128,1.8709677419355533,34.531094,69.162796,1.101468624833111
18,129,1.8709677419355533,34.531094,69.162796,1.048958611481976
19,130,1.8709677419355533,34.531094,69.162796,1.1689452603471295
20,131,1.8709677419355533,34.531094,69.162796,1.0142056074766355
21,132,1.8709677419355533,34.531094,69.162796,1.0941121495327104
22,133,1.8709677419355533,34.531094,69.162796,1.0126835781041388
23,135,1.8709677419355533,34.4834,69.2168,1.0177570093457944
24,145,1.8709677419355533,35.75,69.0,1.0761014686248331
25,149,1.8709677419355533,34.349991,62.200001,1.0126835781041388
26,158,2.161290322580666,34.531094,69.162796,1.0116688918558077
27,159,2.161290322580666,34.531094,69.162796,1.9175300400534045
28,160,2.161290322580666,33.0,65.0,1.0634178905206944
29,161,2.161290322580666,34.531094,69.162796,1.117196261682243
30,183,2.161290322580666,34.531094,69.162796,1.0695060080106809
31,185,2.161290322580666,34.531094,69.162796,1.0542857142857143
32,186,2.161290322580666,34.531094,69.162796,1.0507343124165553
33,196,2.161290322580666,31.6536,65.650482,1.0076101468624834
34,205,2.161290322580666,34.79114000000001,69.660444,1.0167423230974633
35,251,2.4516129032258864,33.492041,64.36809699999999,1.0253671562082778
36,389,1.0,34.4064,70.6376,1.0291722296395194
37,390,1.0,34.3539,70.7778,1.0294259012016023
38,399,1.0,34.428844,70.45575,1.0253671562082778
39,400,1.0,34.428844,70.45575,1.8754205607476635
40,401,1.0,34.428844,70.45575,1.7255006675567424
41,402,1.0,34.428844,70.45575,1.0834579439252336
42,403,1.0,34.400673,70.500383,1.0507343124165553
43,404,1.0,34.428844,70.45575,1.0738184245660882
44,405,1.0,34.428844,70.45575,1.1166889185580775
45,407,1.0,34.428844,70.45575,1.0309479305740987
46,415,1.0,34.428844,70.45575,1.0380507343124166
47,416,1.0,34.428844,70.45575,1.0065954606141523
48,417,1.0,34.428844,70.45575,1.0573297730307076
49,418,1.0,33.335091,69.91841099999999,1.0230841121495327
50,431,1.0,34.428844,70.45575,1.0448998664886515
51,438,1.0,33.335091,69.91841099999999,1.15803738317757
52,441,1.0,34.428844,70.45575,1.0005073431241656
53,442,1.0,33.335091,69.91841099999999,1.023845126835781
54,443,1.0,34.428844,70.45575,1.0098931909212283
