,year,latitude,longitude,high
23525,2018,36.428979,71.347254,109
23698,2018,33.549999,68.416702,850
23752,2018,35.803543,65.281064,102
23853,2018,34.216719,68.304142,120
24447,2018,31.0,64.0,126
24770,2018,34.9217,71.3072,106
25125,2019,34.395614,68.866179,130
25703,2019,36.7904,68.8307,119
25830,2019,35.584191,63.329563,123
26087,2019,32.0563,62.7806,150
26416,2019,33.220631,67.996501,109
27761,2019,34.225097,64.43454200000001,100
27845,2019,35.944583,68.715122,105
27853,2019,32.373795,62.1157,112
29088,2019,34.6696,65.8368,143
29961,2020,33.0,65.0,1562
30596,2020,33.0,65.0,126
30642,2020,33.0,65.0,159
31633,2020,31.668196000000002,64.353821,233
32376,1996,34.967461,69.295097,150
32386,1996,35.0,63.75,139
32387,1996,34.5,62.0,139
32389,1996,34.531094,69.162796,125
32391,1996,34.967461,69.295097,100
32428,1997,34.95,71.133333,100
32439,1997,34.946981,68.417613,120
32443,1997,34.985958000000004,63.12974200000001,100
32445,1997,35.0,63.75,100
32467,1997,36.667567,65.752904,2150
32475,1997,34.946981,68.417613,300
32478,1997,36.667567,65.752904,130
32483,1997,36.700067,67.116647,900
32498,1997,35.0,69.58333,160
32501,1997,35.118365999999995,69.23569499999999,100
32508,1997,36.726131,68.865189,250
32509,1997,36.521149,68.899849,250
32526,1997,35.0159,69.1741,250
32528,1997,34.940554999999996,69.265277,250
32569,1997,36.700067,67.116647,254
32572,1997,36.791605,67.390363,130
32577,1997,36.7449,68.6541,150
32666,1998,35.0,63.75,148
32667,1998,36.25,64.83333,147
32669,1998,35.917320000000004,64.78475999999999,800
32677,1998,35.917320000000004,64.78475999999999,300
32691,1998,36.700067,67.116647,1400
32701,1998,34.25,68.0,100
32708,1998,36.265488,68.016388,200
32718,1998,34.781773,67.750038,226
32730,1998,34.821781,67.82502,350
32741,1998,34.531094,69.162796,107
32749,1998,36.734133,69.533559,150
32750,1998,37.0647,69.4229,100
32787,1998,36.75,68.75,162
32788,1998,36.83333,65.83333,162
32789,1998,36.75,67.0,162
32790,1998,36.0,67.666667,162
32791,1998,35.75,69.0,162
32792,1998,36.25,64.83333,162
32809,1999,36.25,64.83333,100
32832,1999,36.734133,69.533559,100
32886,1999,34.927935999999995,69.333207,113
32895,1999,33.0,65.0,376
32898,1999,35.050219,69.64575400000001,120
32907,1999,35.118365999999995,69.23569499999999,100
32908,1999,35.0159,69.1741,100
32909,1999,35.105,69.344,100
32910,1999,35.050219,69.64575400000001,100
32911,1999,34.940554999999996,69.265277,100
32936,1999,36.0,67.666667,100
32947,1999,36.75,68.75,188
32949,1999,36.66667,69.75,564
33040,2000,34.0,65.0,325
33067,2000,34.675866,68.878171,350
33070,2000,34.9288,69.21893399999999,360
33086,2000,36.734133,69.533559,327
33092,2000,36.734133,69.533559,100
33101,2000,35.42528,67.144847,100
33104,2000,36.734133,69.533559,200
33116,2000,33.0,65.0,405
33119,2000,36.734133,69.533559,832
33182,2001,33.0,65.0,4441
33205,2001,36.085626,66.517297,150
33206,2001,35.8412,66.7225,140
33216,2001,36.572712,69.863104,300
33223,2001,37.0647,69.4229,135
33224,2001,36.972465,69.16328399999999,135
33264,2001,35.909898,66.810004,142
33265,2001,36.700067,67.116647,500
33266,2001,36.700067,67.116647,206
33267,2001,36.700067,67.116647,100
33271,2001,34.84288,69.198133,100
33275,1993,36.66667,69.75,380
33276,1995,36.734133,69.533559,125
33293,2001,36.6823,69.1086,100
33298,2001,36.666920000000005,66.984181,439
33303,2001,34.197308,70.279839,200
33305,2001,34.116667,70.216667,210
33319,2001,34.116667,70.216667,220
33323,2001,33.641,69.2075,107
33338,2002,33.666667,69.33333,300
33339,2002,33.313513,69.03833900000001,200
33342,2002,33.313513,69.03833900000001,200
33343,2002,33.589794,69.232445,100
33502,1992,34.531094,69.162796,300
33511,1993,31.0,64.0,200
33515,1997,36.665176,68.910904,240
33518,1998,35.641366,64.279081,600
33521,1998,36.072913,64.839672,400
33522,1998,36.700067,67.116647,2000
33523,1998,36.700067,67.116647,1691
33525,1998,36.700067,67.116647,100
33526,1998,36.700067,67.116647,200
33527,1998,36.700067,67.116647,300
33528,1998,36.700067,67.116647,700
33529,1998,34.75,67.25,950
33535,1998,32.533601000000004,67.35117,150
33536,1998,32.358438,67.282844,150
33537,1999,34.735252,66.97378499999999,200
33538,1999,34.821781,67.82502,200
33539,1999,34.861323999999996,69.229559,200
33540,1999,36.963459,69.47648000000001,300
33553,2001,34.982801,66.942711,458
33580,2001,33.492041,64.36809699999999,300
34937,2001,36.654742999999996,65.704308,1000
34949,2004,33.244188,62.359646999999995,100
34965,1989,37.002538,70.906643,100
34966,1989,36.66667,69.75,300
34974,1991,33.0,65.0,200
34981,1996,35.944583,68.715122,200
34987,1995,34.395614,68.866179,160
35084,1996,36.726131,68.865189,100
35092,1998,36.951638,67.30703000000001,100
35100,2001,33.0,65.0,220
35110,2001,34.4154,70.3169,137
35117,2001,34.39026,70.09758000000001,200
35142,2001,34.349990999999996,62.200001,100
35166,2001,37.071301,69.298683,100
35187,2001,31.985812,65.476312,133
35390,2016,34.056919,70.661263,121
35555,2017,34.531094,69.162796,100
36646,2019,34.056919,70.661263,100
36851,2018,36.25,64.83333,139
36852,2018,36.83333,65.83333,138
36883,2016,33.192284,62.16411899999999,200
36945,1992,28.0,3.0,103
37583,1995,36.866667,6.9,150
37593,1997,34.666666,0.166666,180
37775,1995,28.0,3.0,1500
37788,1995,36.166667,2.166667,800
37801,1995,36.264169,2.753926,300
37804,1995,36.8,5.766667,200
37915,1995,35.375833,1.313056,200
37936,1995,36.566666999999995,3.15,104
37982,1995,36.8,5.766667,400
38076,1996,28.0,3.0,378
38139,1996,34.666666,-1.416667,240
38215,1997,35.875833,1.633889,120
38224,1997,36.572778,2.6769439999999998,300
38255,1997,34.916667,1.583333,150
38381,1998,35.875833,1.633889,118
38521,1998,36.7,3.8666669999999996,100
38526,1998,36.25,1.25,153
38606,1998,35.416667,0.166667,200
38898,2000,35.75,0.916667,125
39105,2001,28.0,3.0,180
40755,1997,36.75,3.05,700
40756,1997,36.763056,3.0505560000000003,280
40762,1998,35.866667,1.111433,500
41058,1997,36.583333,3.0,250
41145,1989,-16.0,20.0,238
41222,1989,-12.5,18.5,1910
41245,1989,-12.5,18.5,137
41333,1990,-15.166667000000002,19.183332999999998,120
41350,1990,-15.8,20.35,598
41353,1990,-12.5,18.5,161
41365,1990,-12.5,18.5,278
41430,1990,-15.8,20.35,139
41454,1990,-12.5,18.5,107
41502,1991,-11.783333,19.916667,387
41528,1992,-12.348056,13.545556,600
41529,1992,-12.5,18.5,400
41530,1992,-8.833333,13.333332999999998,1685
41534,1992,-7.783333,15.266667000000002,300
41535,1992,-7.616667,15.05,300
41544,1993,-14.916667000000002,13.5,350
41546,1993,-12.383333,16.933332999999998,400
41547,1993,-12.578333,13.407222,1000
41551,1993,-12.776111,15.739167000000002,169
41552,1993,-12.776111,15.739167000000002,9014
41564,1993,-12.776111,15.739167000000002,148
41568,1993,-12.776111,15.739167000000002,150
41569,1993,-12.776111,15.739167000000002,500
41571,1993,-8.58,13.664167,202
41572,1993,-6.133333,12.366667,200
41574,1993,-6.133333,12.366667,153
41576,1993,-15.333332999999998,15.0,200
41579,1993,-11.35,15.116667000000001,200
41597,1993,-9.544722,16.345278,300
41604,1993,-12.383333,16.933332999999998,216
41618,1993,-12.5,18.5,1054
41619,1993,-12.383333,16.933332999999998,1055
41622,1993,-10.85,14.366667000000001,114
41625,1993,-12.383333,16.933332999999998,209
41626,1993,-15.333332999999998,15.0,100
41627,1993,-12.383333,16.933332999999998,389
41628,1993,-14.666667000000002,17.7,390
41645,1993,-17.066667000000002,15.733332999999998,150
41653,1993,-12.0,15.716667000000001,133
41655,1993,-12.776111,15.739167000000002,250
41660,1993,-12.383333,16.933332999999998,150
41668,1993,-12.416667,14.4,500
41669,1993,-12.35,14.766667000000002,500
41670,1993,-14.066667,14.083332999999998,500
